Title	RulerID	Period	Notes
Pope	1	32-67	
Pope	2	67-76	First Roman Pope
Pope	3	76-88	First Greek Pope
Pope	4	88-97	He was martyred by being tied to an anchor and being thrown in the sea.
Pope	5	97-105	Said to have divided Rome into parishes, assigning a priest to each.
Pope	6	105-115	Inaugurated the custom of blessing houses with holy water.
Pope	7	115-125	Also called Xystus I
Pope	8	125-136	Martyr; associated with the Christmas midnight Mass.
Pope	9	136-140	
Pope	10	140-155	Martyred by sword. Decreed that Easter should only be celebrated on a Sunday.
Pope	11	155-166	Decreed that priests are not allowed to have long hair.
Pope	12	166-175	
Pope	13	175-189	
Pope	14	189-199	first pope to have been born on the continent of Africa
Pope	15	199-217	
Pope	16	217-22	opposed by St. Hippolytus, antipope (217-236)
Pope	17	222-30	opposed by St. Hippolytus, antipope (217-236)
Pope	18	230-35	opposed by St. Hippolytus, antipope (217-236)
Pope	19	235-36	opposed by St. Hippolytus, antipope (217-236)
Pope	20	236-50	Divided the communities of Rome into seven districts, each supervised by a deacon
Pope	21	251-53	Opposed by Novatian, antipope
Pope	22	253-54	Martyr; ruled briefly during persecution.
Pope	23	254-257	Martyred by beheading
Pope	24	257-258	Martyred by beheading
Pope	25	260-268	
Pope	26	269-274	
Pope	27	275-283	
Pope	28	283-296	Also called Gaius. Martyred by beheading. Relative of Emperor Diocletian.
Pope	29	296-304	Ruled during Diocletian's persecution.
Pope	30	308-309	
Pope	31	310	309 or 310
Pope	32	311-14	
Pope	33	314-35	Pontiff during the Council of Nicaea.
Pope	34	336	
Pope	35	337-52	Defended Nicene Christianity against Arianism.
Pope	36	352-66	Opposed by Felix II, antipope
Pope	37	366-84	Opposed by Ursicinus, antipope
Pope	38	384-99	
Pope	39	399-401	
Pope	40	401-17	
Pope	41	417-18	
Pope	42	418-22	Opposed by Eulalius, antipope
Pope	43	422-32	Sent St. Patrick to evangelize Ireland.
Pope	44	432-40	
Pope	45	440-61	
Pope	46	461-68	
Pope	47	468-83	
Pope	48	483-92	
Pope	49	492-96	
Pope	50	496-98	
Pope	51	498-514	Opposed by Laurentius, antipope
Pope	52	514-23	
Pope	53	523-26	
Pope	54	529-30	
Pope	55	530-32	Opposed by Dioscorus, antipope
Pope	56	533-35	
Pope	57	535-36	Also called Agapitus I
Pope	58	536-37	
Pope	59	537-55	
Pope	60	556-61	
Pope	61	561-74	
Pope	62	575-79	
Pope	63	579-90	
Pope	64	590-604	
Pope	65	604-606	
Pope	66	607	
Pope	67	608-15	
Pope	68	615-18	
Pope	69	619-25	
Pope	70	625-38	
Pope	71	640	
Pope	72	640-42	
Pope	73	642-49	
Pope	74	649-55	
Pope	75	655-57	
Pope	76	657-72	
Pope	77	672-76	
Pope	78	676-78	
Pope	79	678-81	
Pope	80	682-83	
Pope	81	684-85	
Pope	82	685-86	
Pope	83	686-87	
Pope	84	687-701	Opposed by Theodore and Paschal, antipopes
Pope	85	701-05	
Pope	86	705-07	
Pope	87	708	
Pope	88	708-15	
Pope	89	715-31	
Pope	90	731-41	
Pope	91	741-52	Stephen II followed Zachary, but because he died before being consecrated, modern lists omit him
Pope	92	752-57	
Pope	93	757-67	
Pope	94	767-72	Opposed by Constantine II and Philip, antipopes
Pope	95	772-95	
Pope	96	795-816	
Pope	97	816-17	
Pope	98	817-24	
Pope	99	824-27	
Pope	100	827	
Pope	101	827-44	
Pope	102	844-47	Opposed by John, antipope
Pope	103	847-55	
Pope	104	855-58	Opposed by Anastasius, antipope
Pope	105	858-67	
Pope	106	867-72	
Pope	107	872-82	
Pope	108	882-84	
Pope	109	884-85	
Pope	110	885-91	
Pope	111	891-96	
Pope	112	896	
Pope	113	896-97	
Pope	114	897	
Pope	115	897	
Pope	116	898-900	
Pope	117	900-03	
Pope	118	903	Opposed by Christopher, antipope
Pope	119	904-11	
Pope	120	911-13	
Pope	121	913-14	
Pope	122	914-28	
Pope	123	928	
Pope	124	929-31	
Pope	125	931-35	
Pope	126	936-39	
Pope	127	939-42	
Pope	128	942-46	
Pope	129	946-55	
Pope	130	955-63	
Pope	131	963-64	Considered an antipope for part of his reign.
Pope	132	964	Deposed by Emperor Otto I.
Pope	133	965-72	
Pope	134	973-74	Imprisoned and strangled by Crescentius I.
Pope	135	974-83	opposed by Boniface VII, antipope
Pope	136	983-84	opposed by Boniface VII, antipope
Pope	137	985-96	
Pope	138	996-99	Opposed by John XVI, antipope. First German pope.
